Date,Price,ProductName,Country,Continent,Currency,Store,Category,Product URL,Price over time
2023-03-12,54.99,ESKORT BEEF BURGER PATTIES 12'S,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001336088162,"{'Date': '2023-03-12', 'Price': 54.99}"
2023-03-13,54.99,ESKORT BEEF BURGER PATTIES 12'S,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001336088162,"{'Date': '2023-03-13', 'Price': 54.99}"
2023-03-14,54.99,ESKORT BEEF BURGER PATTIES 12'S,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001336088162,"{'Date': '2023-03-14', 'Price': 54.99}"
2023-03-15,54.99,ESKORT BEEF BURGER PATTIES 12'S,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001336088162,"{'Date': '2023-03-15', 'Price': 54.99}"
2023-03-16,54.99,ESKORT BEEF BURGER PATTIES 12'S,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001336088162,"{'Date': '2023-03-16', 'Price': 54.99}"
2023-03-17,54.99,ESKORT BEEF BURGER PATTIES 12'S,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001336088162,"{'Date': '2023-03-17', 'Price': 54.99}"
2023-03-18,54.99,ESKORT BEEF BURGER PATTIES 12'S,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001336088162,"{'Date': '2023-03-18', 'Price': 54.99}"
2023-03-19,54.99,ESKORT BEEF BURGER PATTIES 12'S,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001336088162,"{'Date': '2023-03-19', 'Price': 54.99}"
2023-03-20,54.99,ESKORT BEEF BURGER PATTIES 12'S,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001336088162,"{'Date': '2023-03-20', 'Price': 54.99}"
2023-03-21,54.99,ESKORT BEEF BURGER PATTIES 12'S,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001336088162,"{'Date': '2023-03-21', 'Price': 54.99}"
2023-03-22,54.99,ESKORT BEEF BURGER PATTIES 12'S,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001336088162,"{'Date': '2023-03-22', 'Price': 54.99}"
2023-03-23,54.99,ESKORT BEEF BURGER PATTIES 12'S,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001336088162,"{'Date': '2023-03-23', 'Price': 54.99}"
2023-03-24,54.99,ESKORT BEEF BURGER PATTIES 12'S,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001336088162,"{'Date': '2023-03-24', 'Price': 54.99}"
2023-03-25,54.99,ESKORT BEEF BURGER PATTIES 12'S,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001336088162,"{'Date': '2023-03-25', 'Price': 54.99}"
2023-03-26,54.99,ESKORT BEEF BURGER PATTIES 12'S,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001336088162,"{'Date': '2023-03-26', 'Price': 54.99}"
2023-03-27,54.99,ESKORT BEEF BURGER PATTIES 12'S,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001336088162,"{'Date': '2023-03-27', 'Price': 54.99}"
